File_Name,Title,Lead_Author,Year,Journal,Country,Country_ISO3,City,Spatial_Scale_of_Analysis,Number_of_Parks,Spatial_Scale_Detail,Article_Type,Article_Type_Detail,Data_Collection_Method,Data_Collection_Method_Detail,Data_Analysis_Method,Data_Analysis_Method_Detail
roe2016.pdf,"Understanding Relationships between Health, Ethnicity, Place and the Role of Urban Green Space in Deprived Urban Communities","Roe, Jenny",2016,International Journal of Environmental Research and Public Health,United Kingdom,GBR,Hackney; Islington; Coventry; Wolverhampton; Rochdale; Oldham,Multiple greenspaces/parks,Not reported,"The study was conducted in ""6 case study locations in London (Hackney and Islington), West Midlands (Coventry and Wolverhampton) and Greater Manchester (Rochdale and Oldham)"" (p. 4). The analysis is based on residents' self-reported use and perceptions of their ""nearest neighbourhood green space"" and the ""availability of a 2nd local urban green space"" (p. 6). The specific number of greenspaces is not reported as the study focuses on the local environments of the 523 survey participants.",Empirical,"The study is empirical as it ""used a household questionnaire (n = 523) to explore the relationship between general health and a range of individual, social and physical environmental predictors in deprived white British and BME groups living in ethnically diverse cities in England"" (p. 1). It involves collecting and analyzing primary data to investigate these relationships.",['Questionnaire surveys'],"The study's data was collected via a ""household questionnaire (n = 523)"" (p. 1). The survey ""was carried out as a computer-assisted interview, face-to-face, with one person in each household chosen"" (p. 4). The questionnaire gathered self-reported data on demographics, health, social environment, neighbourhood environment, and use of local green space.","['Quantitative Statistical Modeling', 'Computational & AI-based Analysis']","The study used several statistical methods. It began with descriptive statistics and ""non-parametric tests such as Mann Whitney U and Kruskal Wallis"" (p. 6). It then employed ""Chi-Squared Automatic Interaction Detection (CHAID) segmentation to provide sub-group profiles"" (p. 6). Finally, it used ""a new form of high dimensional Correlated Component Regression (CCR) with M-Fold Cross Validation"" to identify predictors of health (p. 6). The use of standard statistical tests falls under Quantitative Statistical Modeling, while CHAID (a decision tree algorithm) and CCR are advanced computational methods for pattern recognition and prediction, justifying Computational & AI-based Analysis."
cengiz2012.pdf,"Environmental quality analysis for sustainable urban public green spaces management in Bartın, Turkey","Cengiz, Canan",2012,"Journal of Food, Agriculture & Environment",Turkey,TUR,Bartın,Multiple greenspaces/parks,5,"The abstract states: ""Conducted in the city of Bartın located in the Western Black Sea Region of Turkey, this study analyzes five different urban public green spaces in terms of sustainable urban fabric and environmental quality."" The 'Materials and Methods' section specifies these five areas: ""The research area of this article covers Gazhane Park, Cumhuriyet Square, Municipality Park, Yalı Boyu Park and Çağlayan Picnic Area"".",Empirical,"The study applies established methods to evaluate specific parks. The abstract states the study ""analyzes five different urban public green spaces in terms of sustainable urban fabric and environmental quality."" The study consists of three main stages: ""i) survey study (evaluation of urban public green spaces recreational use preferences and the selected areas according to user preferences) ii) examination of the behavior maps of the research areas, and iii) evaluation of the environmental quality analysis of these areas.""","['Questionnaire surveys', 'On-site audit or observation', 'Literature and document review']","The study's methodology involved several data collection techniques. A survey was administered to the public, as stated in the abstract: ""a survey was conducted with 150"". On-site observations were used to create behavior maps: ""behavior maps were produced separately for each research area."" Expert opinion was also gathered, which involved experts scoring criteria, a form of survey. The 'Materials and Methods' section also notes the use of existing documents: ""The development plans prepared by the Municipality of Bartın and the photographs taken during the field work were used to determine the research area.""",['Quantitative Statistical Modeling'],"The study primarily used quantitative statistical methods to analyze its data. The 'Materials and Methods' section specifies: ""For the statistical evaluation of the data, the Spearman coefficients (r) and the degrees of significance were found through the correlation analysis... SPSS (Statistical Package for Social Science) 16.01 was used to conduct the statistical analyses. In addition, some data gathered from the surveys were evaluated by percentage analysis using tables and graphs."""
southon2017.pdf,Biodiverse perennial meadows have aesthetic value and increase residents’ perceptions of site quality in urban green-space,"Southon, Georgina E.",2017,Landscape and Urban Planning,United Kingdom,GBR,Bedford; Luton,Multiple greenspaces/parks,10,"The study was conducted at ""ten urban green-spaces in southern England (five experimental sites and five control sites)"". The methods section specifies these were located in the cities of Bedford and Luton.",Empirical,"The study is empirical as it applies established methods to evaluate specific greenspaces. The abstract states: ""We used photo-elicitation studies and a controlled perennial meadow creation experiment at ten urban green-spaces in southern England (five experimental sites and five control sites) to assess green-space visitors' responses to urban meadows.""","['Experiments', 'Questionnaire surveys', 'Ecological measurement']","The study involved a ""controlled perennial meadow creation experiment"" where different types of meadows were established. Data on public perception were collected via ""Greenspace user surveys"" which included a ""photo elicitation study"" and questionnaires with Likert-scale questions. Ecological data was also collected, specifically ""information on the abundance of bees and butterflies in the plot (based on quantitative survey data conducted on the plots during the summer of 2014)"".","['Quantitative Statistical Modeling', 'Causal Inference & Experimental Design']","The study uses a controlled experimental design with five experimental and five control sites to infer the causal effect of meadow creation on visitor perceptions. The data were analyzed using various quantitative statistical models, including ""linear mixed effects models"", ""cumulative link mixed models"", ""Categorical Principal Components Analysis (CATPCA)"", ""Kruskal-Wallis tests"", and ""Wilcoxon Signed Rank Tests""."
mceachan2018.pdf,"Availability, use of, and satisfaction with green space, and children's mental wellbeing at age 4 years in a multicultural, deprived, urban area: results from the Born in Bradford cohort study","McEachan, Rosemary R C",2018,Lancet Planet Health,United Kingdom,GBR,Bradford,Entire network or system,Not reported,"The study was conducted in the city of Bradford, UK, using data from the Born in Bradford cohort study which recruited participants from the city's main maternity unit. Green space exposure was calculated for each of the 2594 participants across the city. The methods state: ""We calculated measures of residential green space for each participant using the NDVI. To explore residential greenness, we calculated the NDVI within three straight line buffers of 100 m, 300 m, and 500 m around participants' geocoded home address."" The study did not report the number of distinct parks, but rather used continuous measures of greenness (NDVI) and distance to major green spaces.",Empirical,"This is an empirical study that applies established methods to evaluate the relationship between green space and mental wellbeing in a specific population. The summary states the aim: ""We aimed to explore associations between availability of, satisfaction with, and use of green space and mental wellbeing among children aged 4 years in a multi-ethnic sample.""","['Questionnaire surveys', 'Geospatial data and/or remote sensing']","The study used questionnaires to gather data on mental wellbeing and green space use/satisfaction. The primary outcome was assessed with 'the standardised Strengths and Difficulties Questionnaire.' A subsample also 'completed additional questionnaires on measures of satisfaction with, and use of, local green spaces.' Geospatial data was used to measure green space availability: 'Residential green space around participants' home addresses and distance to major green spaces were computed with the normalised difference vegetation index (NDVI)' using 'Landsat 5 TM (USGS) remote sensing data'.","['Quantitative Statistical Modeling', 'Spatial Analysis']","The study employed quantitative statistical modeling to analyze the data. The methods state: ""Multiple regressions examined associations between green space and children's mental wellbeing and explored moderation by ethnicity... and socioeconomic status."" Other statistical tests included t-tests, Mann-Whitney U tests, and χ² tests. Spatial analysis was used to create the exposure variables: ""To explore residential greenness, we calculated the NDVI within three straight line buffers of 100 m, 300 m, and 500 m around participants' geocoded home address."""
battisti2020a.pdf,Managing urban greening for improving well-being in European cities,"Battisti, L.",2020,Acta Horticulturae,Germany,DEU,Berlin,Multiple greenspaces/parks,8,"The study analyzed residential greenery across eight distinct sites in Berlin. The paper states: ""Secondly, eight study sites were identified (two for each building type).""",Empirical,"The study applies established methods to evaluate specific residential greenspaces in Berlin. The objectives are: ""i) to explore the state of the art of residential greenery in Berlin; ii) to analyze resident's perceptions of the related green areas; and iii) to propose strategies to foster health relevant ecosystem services..."". The paper presents ""preliminary results"" from this evaluation.","['On-site audit or observation', 'Questionnaire surveys', 'Geospatial data and/or remote sensing', 'Ecological measurement']","The study involved on-site surveys: ""In each plot common elements of the residential greenery (e.g., meadows, trees and shrubs, gardens, playgrounds, bike storages, flowerbeds) were surveyed."" Ecological data was collected: ""the floristic composition of the green areas was mapped."" The study utilized existing geospatial data: ""the Environmental justice map of Berlin (Umweltatlas) was taken into consideration"" and a ""building-type map"". The methodology also includes a planned data collection method: ""a questionnaire is being drawn up that will be administered to the residents of the study areas in the summer 2018.""",['Spatial Analysis'],"The study used spatial data to select its sites. The paper states: ""In order to select disadvantaged areas, including the chosen building types, the building-type map was overlapped with Umweltatlas map."" This use of geographic data to identify areas based on specific criteria is a form of spatial analysis. The rest of the analysis presented is primarily descriptive, such as a ""qualitative synthesis of the indicator's values"" and characterizations of the field sites."
banda2014.pdf,The Associations Between Park Environments and Park Use in Southern US Communities,"Banda, Jorge A.",2014,The Journal of Rural Health,United States,USA,Not reported,Multiple greenspaces/parks,6,"The study observed six parks. The Methods section states: ""Six community parks in a county located in central South Carolina were observed in May 2010 and October 2010.""",Empirical,"The study is empirical as it applies established methods to evaluate specific parks. The abstract states the purpose is: ""To document park use and park and neighborhood environment characteristics in rural communities, and to examine the relationship between park characteristics and park use.""","['On-site audit or observation', 'Geospatial data and/or remote sensing']","The study used direct observation and audit tools to collect data on park use and environments. ""The System for Observing Play and Recreation in Communities (SOPARC) was used to document park use..."" and ""The Physical Activity Resource Assessment (PARA) instrument was used to document park characteristics..."". A windshield survey using the Neighborhood Attribute Inventory (NAI) was also conducted. Additionally, GIS was used: ""Using Geographic Information Systems techniques, each park had a Euclidean buffer placed around it, which included the 400-m area surrounding its perimeter.""",['Quantitative Statistical Modeling'],"The study used statistical modeling to analyze the collected data. The abstract states, ""Logistic regression was used to determine the relationship between the condition, number of amenities, and number of incivilities in a target area with target area use."" The Statistical Analysis section also mentions the use of descriptive statistics, intraclass correlations (ICCs), and logistic regression."
chen2019b.pdf,"A comparison of park access with park need for children: A case study in Cache County, Utah","Chen, Shuolei",2019,Landscape and Urban Planning,United States,USA,Cache County,Entire network or system,91,"The study was conducted in Cache County, Utah. The text states, ""There are 91 public parks in Cache County ranging from 0.04 to 52.49 acres in size."" The authors also state, ""We used the modified PARK tool to assess all the parks in the county from September 2016 to October 2016."" This indicates an analysis of the entire park system within the county.",Empirical,"The study is empirical as it applies established methods to a specific case study. The abstract states, ""This study compared a broader assessment of park access, incorporating both proximity and quality with an index of park need... While proximity and quality were assessed by Network Analysis and PARK tool respectively, the index of park need was identified through multiple socio-demographic factors and co-variables."" The study's purpose is ""to explore park access by both the distribution and the quality of parks in relation to children's potential need"" in Cache County, Utah.","['On-site audit or observation', 'Geospatial data and/or remote sensing', 'Literature and document review']","The study used several data collection methods. For park quality, a modified version of the ""direct-observation tool called Parks, Activity, and Recreation among Kids (PARK)"" was used to ""assess all the parks in the county"". For park proximity, ""Park Proximity was calculated by GIS network analysis"". For park need, ""The required socio-demographic information for Cache County (2010 to 2014 USA census data) was available at the block group level and downloaded from the American Fact Finder.""","['Quantitative Statistical Modeling', 'Spatial Analysis']","The study used both statistical and spatial analysis methods. For statistical analysis, ""the data was analyzed using multiple linear regression in IBM SPSS"" and ""bivariate correlation"" was used to explore relationships between variables. For spatial analysis, ""The graphic analysis was conducted by overlaying a graphic map of park need with a graphic map of park allocation (Fig. 3). Gap areas or block groups with a park need score of more than 20, but with low levels of park allocation, were identified as potential areas for proposed future park locations."""
fornal-pieniak2023.pdf,Preferences of Young Adult Visitors to Manor Parks in South Poland: A Study on Ecosystem Services and Scenic Quality,"Fornal-Pieniak, Beata",2023,Land,Poland,POL,Sandomierska Basin,Multiple greenspaces/parks,30,The study was conducted in 30 manor parks with forest characters in the Sandomierska Basin in southern Poland.,Empirical,"The study applies a survey method to evaluate visitor preferences in specific parks. The abstract states, 'The present study presents the results of a quantitative survey based on a group of 352 young visitors to manor parks in south Poland.' Section 2.2 further clarifies, 'Empirical materials were collected by using the auditorium questionnaire technique.'",['Questionnaire surveys'],"The study collected data through questionnaires. Section 2.2 states: 'Empirical materials were collected by using the auditorium questionnaire technique. The answers to questionnaires were collected between May and September 2022.' The questionnaire included questions about 'Respondents’ characteristics', 'Frequency of visiting manor parks', 'Reasons for visiting manor parks', 'Selected criteria of ecosystem services', and 'Selected criteria of scenic qualities'.",['Quantitative Statistical Modeling'],"The study used several statistical tests to analyze the questionnaire data. Section 2.4, 'Statistical Analysis', states: 'To initially verify the hypotheses set out, an analysis was carried out to determine the existence of a relationship... using Spearman’s Rank correlation coefficient. In order to assess whether per capita income... affected the opinion... a non-parametric U Mann-Whitney test was used for a deeper statistical analysis. To further verify the hypotheses... a test of frequency comparisons of reasons for visiting manor parks was performed through a Chi2 Pearson test.'"
ghanem2024.pdf,Socio-economic disparities in greenspace quality: insights from the city of Melbourne,"Ghanem, Ali",2024,Smart and Sustainable Built Environment,Australia,AUS,Melbourne,Multiple greenspaces/parks,106,"The study analyzed greenspaces across multiple suburbs in Melbourne, comparing low and high socio-economic status (SES) areas. ""Online inspections conducted from August to November 2021 identified a total of 106 greenspaces, 54 situated in the low-SES settings and 52 in high-SES settings.""",Empirical,"The study applies an established framework to evaluate specific greenspaces. The purpose is to ""assess[] the quality of greenspace in low- and high socio-economic status (SES) settings. Socio-economic data from deprivation indexes were used to systematically define low- and high-SES suburbs. A Geographical Information System (GIS) observation of greenspaces was used to score spaces according to a scoring criterion contingent on six quality facets. Statistics were then synthesised, producing a Cohen effect score highlighting disparities in each criterion between the two SES groups.""","['On-site audit or observation', 'Geospatial data and/or remote sensing', 'Literature and document review']","The study conducted a virtual assessment of greenspaces using a predefined scoring guide. Data was collected using geospatial tools: ""Greenspace data were obtained through collaboration between the Esri ArcGIS mapping, Google satellite imagery and street view"". This virtual audit was based on a scoring guide (Table 1) adapted from previous studies. Additionally, the study used existing socio-economic data: ""Socio-economic data from deprivation indexes were used to systematically define low- and high-SES suburbs.""",['Quantitative Statistical Modeling'],"The study used quantitative statistical methods to compare greenspace quality between low- and high-SES areas. ""Descriptive statistics obtained involved sample sizes, mean scores (M) and standard deviations (SD). Formulating findings included conducting a univariable analysis to formulate a correlation through Cohen's d formula. The calculated effect size indicated the extent of the difference between each quality domain of greenspaces in low- and high-SES settings..."""
putra2021b.pdf,Association between caregiver perceived green space quality and the development of prosocial behaviour from childhood to adolescence: Latent class trajectory and multilevel longitudinal analyses of Australian children over 10 years,"Putra, I Gusti Ngurah Edi",2021,Journal of Environmental Psychology,Australia,AUS,Not reported,Entire network or system,Not reported,"The study uses data from the 'Longitudinal Study of Australian Children (LSAC)', which is a 'nationally representative cohort study' (p. 3). The study design involved selecting 'representative postcodes' across Australia, stratified by 'state, capital city statistical division, and urban-rural communities' (p. 3). Green space quality was measured at the neighborhood level based on caregiver perception. This indicates an analysis across the entire system of greenspaces available to the national cohort, rather than a focus on a specific set of parks. The number of parks is not specified.",Empirical,"The study is empirical as it uses data from the 'Longitudinal Study of Australian Children' to investigate the 'longitudinal association between caregiver perceived green space quality and child prosocial behaviour' (p. 1). It applies established statistical methods, including 'Latent class analysis', 'Multinomial logistic regression', and 'Multilevel linear regression' (p. 1), to analyze the data and test hypotheses.",['Questionnaire surveys'],The study is a secondary analysis of data from the 'Longitudinal Study of Australian Children (LSAC)' (p. 3). The data for the key variables were collected via questionnaires administered to caregivers. Prosocial behavior was assessed using the 'prosocial scale from Goodman's Strengths and Difficulties Questionnaire (SDQ)' (p. 3). Green space quality was 'measured using caregiver perception on the quality of neighbourhood green space' based on their rating of a specific statement (p. 3).,['Quantitative Statistical Modeling'],The study employs several quantitative statistical modeling techniques. The abstract states: 'Latent class analysis was used to partition children into groups denoting different levels of caregiver perceptions of green space quality... Multinomial logistic regression was used to examine the likelihood of being in groups with favourable perception of green space quality. Multilevel linear regression was used to examine associations between trajectory groups and prosocial behaviour.' (p. 1). These methods are used to quantify statistical relationships between variables.
stanley2022.pdf,Approach to user group-specific assessment of urban green spaces for a more equitable supply exemplified by the elderly population,"Stanley, Celina Hildegard",2022,One Ecosystem,Germany,DEU,Dresden,Entire network or system,997,"The study analyzes the urban green space (UGS) system across the entire City of Dresden, Germany. The authors state, ""The approach is demonstrated for the City of Dresden, Germany, using high-resolution data"" (p. 4). The analysis included ""all 997 UGS larger than one hectare"" (p. 15) in the city. The objective was to assess quality and supply city-wide to ""identify areas for action in spatial planning"" (p. 19), which corresponds to an analysis of the entire network or system.",Methodological,"The study's primary contribution is the development of a new approach for assessing UGS quality based on user-specific demands. The authors state, ""we present an approach that takes account of the needs of UGS users, especially elderly people, when assessing UGS quality and supply"" (p. 4). This involves creating a new workflow and metrics for evaluation, which aligns with the definition of a methodological article that develops new instruments or metrics.","['Questionnaire surveys', 'Geospatial data and/or remote sensing', 'Literature and document review']","To understand user needs, the researchers ""conducted two surveys"" (p. 7), one of which was an ""online survey of several thousand people across Germany"" (p. 7). For the spatial analysis, the study utilized various geospatial datasets, including ""municipal (open) data from the City of Dresden, VGI data from OpenStreetMap (OSM) and social media posts,"" as well as ""high resolution population data"" and a ""3D-building model"" (p. 6). The initial design of the surveys was informed by ""a previous intensive literature research"" (p. 7).","['Quantitative Statistical Modeling', 'Qualitative Content Analysis', 'Spatial Analysis']","The study used quantitative statistical modeling to analyze survey data, stating ""The Eta coefficient was used to examine the correlation... an ANOVA test was performed... All statistical analyses were conducted using IBM SPSS Statistics"" (p. 9). For open-ended survey questions, ""collected open responses on UGS features per activity were manually clustered, based on authors' expert knowledge"" (p. 8), which is a form of qualitative content analysis. The assessment of UGS supply relied heavily on spatial analysis techniques, including a ""standard spatial buffering approach to analyse accessibility"" and ""dasymetric mapping"" to refine population data (p. 13)."
baka2022.pdf,"Assessing equality in neighbourhood availability of quality greenspace in Glasgow, Scotland, United Kingdom","Baka, Anastasia",2022,Landscape Research,United Kingdom,GBR,Glasgow,Entire network or system,264,"The study assesses greenspaces across the entire city of Glasgow. The paper states, ""The research focussed on greenspaces and neighbourhoods within the boundaries of Glasgow City Council"" and ""All of the 264 Data Zones within the boundary of Glasgow City Council were assessed."" The number of greenspaces is inferred from the statistical analysis tables, where the sample size (n) is consistently 264. For example, Table 3, which shows the frequency of scores, has a total count of 264 across all categories (e.g., for Accessibility: 117 + 97 + 30 + 11 + 9 = 264).",Empirical,"The study applies an established method (remote assessment via Google Street View) to evaluate specific greenspaces in Glasgow and test for a relationship between their quality and neighborhood deprivation. The abstract states the authors ""evaluate the relationship between neighbourhood-level deprivation and greenspace quality by combining socio-economic data with assessment of neighbourhood greenspace from Google Street View, subjecting our observations to statistical testing.""","['On-site audit or observation', 'Geospatial data and/or remote sensing', 'Literature and document review']","The study used multiple data collection methods. For greenspace quality assessment, it used a form of remote observation: ""The tool used to assess the quality of greenspaces was Google Street View... as a way of remotely and systematically assessing local environments from 'ground level'."" Geospatial data was used to identify greenspaces: ""First was to identify formal greenspaces in the Data Zone using Glasgow City Council's Parks, Play Areas, Cemeteries and Outdoor Recreation GIS portal... Second was to take ten random locations within each Data Zone which appeared to represent greenspace from the satellite view on Google Maps."" Existing data from documents was used for socio-economic context: ""We evaluate the relationship between neighbourhood-level deprivation and greenspace quality by combining socio-economic data..."", specifically the ""Scottish Index of Multiple Deprivation (SIMD).""",['Quantitative Statistical Modeling'],"The study uses statistical modeling to analyze the relationship between variables. The abstract states the authors are ""subjecting our observations to statistical testing."" The method section specifies the statistical tests used: ""the variables 'Overall Score' and 'Well-Kept' were determined to be subjected to parametric testing (One-Way ANOVA); whereas all other variables were determined to be subjected to non-parametric testing¹ (Kruskal-Wallis Test)."" The results are presented using these statistical models, for example: ""For the overall score, there was a statistically significant difference between data zones in different SIMD deciles as determined by one-way ANOVA (F(9,254) = 6.07; p = 0.00)."""
sander2017.pdf,Varying age-gender associations between body mass index and urban greenspace,"Sander, Heather A.",2017,Urban Forestry & Urban Greening,United States,USA,Cleveland,Entire network or system,Not reported,"The study focuses on 546 US Census block groups in Cleveland, Ohio, USA, which covers the entire city. The abstract states the study uses regression models for groups in 'Cleveland, Ohio, US'. The study does not provide a discrete number of parks, but rather analyzes greenspace as a land cover type within these block groups.",Empirical,"The study applies established statistical methods to evaluate the relationship between greenspace characteristics and Body Mass Index (BMI) in a specific urban environment. The abstract states: ""This study seeks to identify relationships among the composition and arrangement of greenspace and BMI for different populations using regression models for eight age and gender groups in Cleveland, Ohio, US.""","['Geospatial data and/or remote sensing', 'Literature and document review']","The study utilized several existing datasets. Geospatial data included: ""parcel data from the Cuyahoga County Geographical Information Systems Department (CCGISD)"", ""2011, high-resolution (1-m) land-cover data from the CCGISD"", and the ""2011 National Landcover Dataset (NLCD) Tree Canopy product"". Other data were sourced from documents and administrative records: ""data from the Ohio Bureau of Motor Vehicles (BMV) state driver's license and identification card applications"" for BMI, and socio-economic data from ""2010 US Census data"" and the ""US Census 2010 American Community Survey (ACS) five-year estimates"".","['Quantitative Statistical Modeling', 'Spatial Analysis']","The study employed several statistical and spatial analysis techniques. For quantitative statistical modeling, the authors ""estimated ordinary least squares (OLS) regression models for each age and gender group to identify relationships among independent variables and BMI."" For spatial analysis, they ""identified regions with age and gender-specific high and low BMI via a cluster analysis using the hot-spot analysis tool in ESRI's ArcGIS 10.3."" They also used ""Moran's-I statistics to assess... spatial autocorrelation"" and calculated ""spatially-simultaneous autoregressive (SAR) models"" to address it."
feng2017a.pdf,Residential Green Space Quantity and Quality and Child Well-being: A Longitudinal Study,"Feng, Xiaoqi",2017,American Journal of Preventive Medicine,Australia,AUS,Not reported,Multiple greenspaces/parks,Not reported,"The study measured green space quantity as ""The percentage of land-use within each 'Statistical Area 2' (SA2) of residence classified as parkland by the Australian Bureau of Statistics."" SA2s are described as being ""designed to represent suburbs within cities and functional areas containing commercial and transport hubs in areas outside of cities."" This represents an analysis of multiple green spaces within defined neighborhood-level areas. The study did not count the number of individual park units.",Empirical,"The study is empirical as it applies established statistical methods to a large longitudinal dataset to test a specific hypothesis. The introduction states: ""The authors hypothesized that more and better quality residential green space would be favorable for well-being and that these associations could be subject to effect modification across childhood.""","['Questionnaire surveys', 'Geospatial data and/or remote sensing']","The study used data from the Longitudinal Study of Australian Children (LSAC). Child well-being was measured using the parent-completed Strengths and Difficulties Questionnaire (SDQ). Green space quality was measured via a parent survey question: ""Parents were asked whether they strongly agreed, agreed, disagreed, or strongly disagreed with the following statement: there are good parks, playgrounds and play spaces in this neighborhood."" Green space quantity was measured using ""The percentage of land-use within each 'Statistical Area 2' (SA2) of residence classified as parkland by the Australian Bureau of Statistics,"" which constitutes geospatial data.",['Quantitative Statistical Modeling'],"The study's 'Statistical Analysis' section states that ""MLWIN V2.31 was used in 2015 to fit three-level linear regressions for all three outcomes with observations (person-years) at level 1, participants at level 2, and neighborhoods (proxied by SA2s) at level 3."" This method was used to examine ""Associations between each well-being indicator with green space quantity and quality... after adjusting for confounders."""
yang2024b.pdf,Unveiling disparities: a social media analysis of urban park usage and sentiments in Oklahoma City,"Yang, Anni",2024,GeoJournal,United States,USA,Oklahoma City,Multiple greenspaces/parks,94,"The study analyzed multiple parks within a single city. The abstract states: ""In our study, we utilized 4,531 Google Map reviews to demonstrate public ratings and sentiments regarding 94 local urban parks in OKC"". The results section confirms this: ""In Oklahoma City (OKC), a total of 94 local parks (i.e., 21 community parks and 73 public neighborhood parks) were evaluated by users on the Google Maps platform.""",Empirical,"The study is empirical because it applies established methods to a specific case study to evaluate parks. The stated objective is ""to estimate public sentiments of local parks using social media data to demonstrate public evaluation of them surrounding OKC and conduct a comprehensive park equity assessment that compares park satisfaction with park design characteristics, neighborhood social-demographic, and economic characteristics to reveal how parks’ physical characteristics and social environment can impact public satisfaction on parks.""","['Citizen science and/or user-generated data', 'Geospatial data and/or remote sensing', 'Literature and document review']","The study utilized several data collection methods. For user-generated data, researchers ""collected online reviews of community and neighborhood parks in OKC from the Google Maps platform"" (p. 3). For geospatial data, they ""accessed 2022 National Agriculture Imagery Program (NAIP) data of OKC and reclassified the image"" (p. 3). For literature and document review, they gathered data on park amenities from the ""OKC Parks & Recreation database"" and socioeconomic data from sources including ""US Census; Policy Map"" and ""CDC"" (Table 1, p. 6).","['Quantitative Statistical Modeling', 'Spatial Analysis', 'Computational & AI-based Analysis']","The study used multiple analysis methods. For Quantitative Statistical Modeling, researchers ""employed generalized linear models (GLMs) to explore the influence of various factors... on the subjective and qualitative assessments of local parks in Oklahoma City (OKC)"" (p. 5). For Spatial Analysis, park service areas ""were calculated using 'Network Analysis' in ArcGIS Pro V3.0.1"" (p. 3). For Computational & AI-based Analysis, the study ""applied the Valence Aware Dictionary for Sentiment Reasoning (VADER), a commonly used rule-based model, to perform sentiment analysis"" and also ""applied the Latent Dirichlet Allocation (LDA) model to detect popular topics based on their Google Map reviews"" (p. 5)."
vandillen2012.pdf,Greenspace in urban neighbourhoods and residents' health: adding quality to quantity,"van Dillen, Sonja M E",2012,Journal of Epidemiology and Community Health,Netherlands,NLD,Four large Dutch cities,Multiple greenspaces/parks,240,"The study was conducted across 80 neighborhoods in four cities. The paper states: ""80 Dutch urban neighbourhoods were selected... Within each city 20 neighbourhoods were selected."" For each neighborhood, multiple greenspaces were assessed: ""To assess the quality of green areas, within each neighbourhood, three green areas with a minimum size of 1 ha were selected."" Therefore, the total number of parks is 80 neighborhoods * 3 green areas/neighborhood = 240.",Empirical,"The study applies established methods to investigate a specific research question in a real-world setting. The abstract states its objective as: ""This study investigates the link between the objectively assessed quantity and quality of (1) green areas and (2) streetscape greenery on the one hand and three self-reported health indicators on the other.""","['Geospatial data and/or remote sensing', 'On-site audit or observation', 'Questionnaire surveys']","The study used multiple data collection methods. Geospatial data was used to select study sites: ""80 Dutch urban neighbourhoods were selected, varying in the amount of nearby green area per dwelling, as determined by Geographic Information System analysis."" On-site audits were conducted to assess quality: ""The quality of green areas, as well as the quantity and quality of streetscape greenery, was assessed by observers using an audit tool."" Questionnaires were used to collect health data from residents: ""Residents of each neighbourhood were asked to complete a questionnaire on their own health (N=1641).""",['Quantitative Statistical Modeling'],"The study used statistical models to analyze the data. The 'Analysis' section states: ""The relationship between greenspace and health was assessed by multilevel regression analyses, controlling for socio-demographic characteristics. Two levels were included: individual and neighbourhood. For perceived general health and mental health, linear regression analyses were performed. For acute health-related complaints, because of the distribution of scores, an (extra) Poisson model was used."""
wu2025b.pdf,Urban equity of park use in peri-urban areas during the Covid-19 pandemic,"Wu, Yangyi",2025,Landscape and Urban Planning,United States,USA,Salt Lake City,Multiple greenspaces/parks,20,"The study analyzes a subset of parks within Salt Lake City to compare different urban areas. ""The second dataset is collected based on the Community Park Audit Tool (CPAT)... There was a total of 20 parks audited, with ten on each side of the city, and the samples were selected based on the assumption of east-west division, as they have similar total area and same counts.""",Empirical,"The study is empirical as it applies established methods to evaluate park equity in a specific geographic context. The abstract states: ""Based on a multidimensional and comparative framework and combining objective evaluation and subjective perceptions and demands, this study explores park equity within Salt Lake City during COVID-19, spotlighting variations between urban and peri-urban areas.""","['On-site audit or observation', 'Questionnaire surveys', 'Geospatial data and/or remote sensing']","The study is based on multiple data sources. ""One primary dataset is an online survey conducted between August and September 2020... The second dataset is collected based on the Community Park Audit Tool (CPAT)... Each student was assigned three parks to audit in person... Other supportive data include information on parks, local administrative boundaries, neighborhood characteristics, and neighborhood urban form measurements, which are provided by the Utah Geospatial Resource Center (UGRC), Wasatch Front Regional Council (WFRC), and the American Community Survey (ACS) 2019.""","['Quantitative Statistical Modeling', 'Spatial Analysis']","The study uses several quantitative and spatial analysis techniques. For statistical modeling, it employs Gini decomposition to assess disparities and multinomial regression models to understand factors affecting park visitation. For spatial analysis, it applies ""Getis and Ord's Gi* to identify these indicators' potential hot and cold spots"" and incorporates ""spatial regime modeling, a crucial methodological approach in urban geography... designed to account for spatial dependencies and clarify the various mechanisms of urban areas."""
