File_Name,Park_Quality_Definition,Ecological_Environmental_Dimensions,Ecological_Environmental_Dimensions_Detail,Physical_Functional_Dimensions,Physical_Functional_Dimensions_Detail,Social_Experiential_Dimensions,Social_Experiential_Dimensions_Detail,Management_Governance_Dimensions,Management_Governance_Dimensions_Detail
roe2016.pdf,"The study defines greenspace quality through user perceptions. The methods section states, ""Perceptions of local green space quality: measured using three items (i.e., safety, attractiveness, satisfaction with urban green space), with quality on all questions ranked on a 5-item Likert scale from high (1) to poor (5).""",[],"No qualifying content was identified. The study did not directly measure or analyze any ecological or environmental aspects like biodiversity, vegetation, or water quality as components of greenspace quality. The quality measures were based on perceptions rather than objective environmental metrics.","['Safety and/or security', 'Design and/or aesthetics']","Safety and/or security: This was treated as a component of perceived greenspace quality. It was measured as one of three items in the ""Perceptions of local green space quality"" scale. The paper states: ""Perceptions of local green space quality: measured using three items (i.e., safety, attractiveness, satisfaction with urban green space)..."" (Section 2.3.4). In the results, ""GS Safety"" was found to be a significant predictor of general health for the ""Mixed BME Worst Health"" group (Table 3).
Design and/or aesthetics: This was treated as a component of perceived greenspace quality, under the term ""attractiveness"". It was measured as one of three items in the ""Perceptions of local green space quality"" scale. The paper states: ""Perceptions of local green space quality: measured using three items (i.e., safety, attractiveness, satisfaction with urban green space)..."" (Section 2.3.4). While measured as a quality component, the study notes that ""Perceived green space attractiveness was not a significant predictor"" of health.",['Perceived quality'],"The study's entire measure of greenspace quality is based on user perceptions. The primary measure is explicitly named ""Perceptions of local green space quality"" and is composed of three self-reported items: ""safety, attractiveness, satisfaction with urban green space"" (Section 2.3.4). One of these items, ""satisfaction with urban green space,"" directly measures perceived quality. The results show that ""GS Satisfaction"" was a significant predictor of general health for the ""Mixed BME Worst Health"" group (Table 3). The paper summarizes: ""the quality of green space emerged as a significant predictor in the worst health group i.e., Mixed BME.""",[],"No qualifying content was identified. While the study used ""Local Authority (LA) performance in relation to green space"" as a criterion for selecting study sites, this was not measured or analyzed as a component of greenspace quality in the results."
cengiz2012.pdf,"The study analyzes urban public green spaces in terms of 'environmental quality'. This is defined and evaluated through five main indicators: 'Functional quality', 'Ecological quality', 'Aesthetical quality', 'Technical quality', and 'Economic quality'. These indicators are broken down into more specific criteria which were assessed by a panel of experts.",['Vegetation and/or flora'],"Ecological quality is one of the five main indicators of environmental quality. Vegetation is a criterion of ecological quality listed in Table 4. It was measured through expert evaluation, with the results presented in Table 8. The experts' qualitative assessments focused on the composition, diversity, and condition of plants in each park. For example, Gazhane Park was noted to have 'vegetation diversity with tall trees..., bushes... and groundcovers,' while Çağlayan Picnic Area was assessed as having 'no diversity in vegetation design.' These assessments contributed to a numerical score for Ecological Quality for each park.","['Facilities and/or amenities', 'Maintenance and/or cleanliness', 'Safety and/or security', 'Design and/or aesthetics', 'Size and/or acreage', 'Internal accessibility', 'External accessibility']","Facilities and/or amenities: This aspect is part of the 'Functional quality' and 'Technical quality' indicators. It was measured through expert opinion (Table 8) which assessed 'food and beverage areas', 'resting areas', 'playground', 'urban furniture', and 'cafeteria'. A user survey also evaluated 'Number of recreational activities', 'Food and beverage areas', and 'Playground' (Figure 2).
Maintenance and/or cleanliness: This is part of 'Aesthetical quality'. It was measured via expert opinion (Table 8) which described parks as 'well-kept' or 'unkempt', and noted 'neglected plants' and 'worn' elements. A user survey also evaluated 'Being well-kept' (Figure 2).
Safety and/or security: This is a criterion of 'Functional quality' (Table 4). It was measured through a user survey which evaluated 'Security', defined as 'no threat in the recreational areas' (Figure 2).
Design and/or aesthetics: The 'Aesthetical quality' indicator was evaluated by experts (Table 8). Criteria included 'Unique design' (Table 4). Expert opinions described parks as 'Designed in a modern style' and having 'good quality elements'. A user survey also measured 'Attractiveness' (Figure 2).
Size and/or acreage: The area (m²) of each park was listed in Table 3. User perception of size was also surveyed, as shown in Table 5, which asked if the size was 'sufficient, partially sufficient, insufficient'.
Internal accessibility: A user survey measured 'Permeability', defined as 'the possibility of passing from one architectural space into another' (Figure 2). Expert opinion also noted when a park was used for 'passing through' (Table 8).
External accessibility: A user survey measured 'Proximity' ('the closeness of the recreational areas to user groups') and 'Ease of access' ('no threat in the routes used by users') (Figure 2). The 'Distance from city center' for each park was also listed in Table 3.","['Perceived quality', 'Recreation and/or leisure opportunities or programming', 'Social interactions and/or community-building']","Perceived quality: The study conducted a survey with 150 users to evaluate the parks 'according to user preferences'. The survey results, presented as percentage ratings in Figure 2, evaluated parks on criteria grouped under 'Sociability', 'Comfort and image', 'Accessibility', and 'Use-activities'.
Recreation and/or leisure opportunities or programming: This was a key component of 'Functional quality', with a criterion of 'Variety and suitability of recreational activity' (Table 4). Expert opinions in Table 8 describe the recreational activities offered by each park (e.g., 'resting, vista, panorama, boat trips, playground and fitness'). The user survey also evaluated 'Use-activities' including 'Number of recreational activities' and 'Playground' (Figure 2).
Social interactions and/or community-building: The user survey explicitly measured 'Sociability', which included 'Socialization: interaction between individuals within the architectural space' (Figure 2). The results show user ratings for these social aspects.",['Funding and/or resource allocation'],"Funding and/or resource allocation is treated as a dimension of quality under the 'Economic quality' indicator. A specific criterion for this indicator is 'Revenue created to be used for maintenance of services' (Table 4). This was measured through expert evaluation, with results presented in Table 8. The experts assessed the presence and use of revenue-generating facilities in each park. For example, for Gazhane Park, experts noted 'an active use of the food and beverage area possible. There is a unit to rent battery-operated cars for children.' For Çağlayan Picnic Area, they noted 'There is no vending unit.' These assessments contributed to the overall economic quality score for each park."
southon2017.pdf,"The study defines and measures greenspace quality through the perceptions of its users. The title states the study aims to show that meadows ""increase residents' perceptions of site quality in urban green-space"". This was operationalized by asking visitors if they felt the site had 'changed in quality over the last year' on a five-point Likert scale.","['Biodiversity and/or habitat', 'Vegetation and/or flora']","The study experimentally manipulated ecological attributes of meadows to assess their impact on user perceptions of site quality and preference. 
Biodiversity and/or habitat: This was treated as a quality dimension through the manipulation of 'plant species richness'. The experimental design included nine meadow treatments varying on two axes, one of which was ""plant species richness (low, medium and high)"". This was achieved by ""sowing seed mixes that varied in their total species richness."" The results showed that preference scores, an indicator of aesthetic value and quality, ""increased with plant species richness within plots of the same height.""
Vegetation and/or flora: This was treated as a quality dimension through the manipulation of 'structural diversity'. The experimental design's second axis of variation was ""structural diversity (short, medium and tall)"". This was ""primarily controlled with different cutting regimes; short plots were cut every 4 weeks (average height c. 5 cm); medium height plots were cut twice a year (April and September, average height c. 50 cm) and the tall plots were cut once a year (February, average height 100 cm)."" The results showed that medium and tall plots were preferred over short plots.",['Design and/or aesthetics'],"Design and/or aesthetics: The study treats aesthetic value as a component of quality, measured through user preferences for different meadow designs. The methods state that questionnaires were conducted to assess how plant species richness and structural diversity were associated with ""respondents' preference scores (an indicator of aesthetic value)."" The different meadow treatments, which varied in plant species richness and height, represent different planting designs. Respondents were asked to ""allocate a preference score from 1 to 10 to each plot (1 = strongly dislike, 10 = strongly like).""",['Perceived quality'],"Perceived quality: This is the central dependent variable used to measure the impact of meadow creation on greenspace quality. The Methods section states: ""To assess whether visitors' perceptions of changes in site quality differed between control and experimental sites after meadows were created we asked respondents 'Do you feel that the site has changed in quality over the last year?' (scored on a five point Likert scale; 1 = strong decline in quality; 2 = slight decline; 3 = no change; 4=slight improvement; 5 = strong improvement)."" The results showed that respondents at experimental sites were significantly more likely to report positive changes in site quality.",[],"No qualifying content was identified. While the study implemented different management regimes (i.e., mowing frequencies) as part of its experimental design to create different meadow structures, these were independent variables used to manipulate vegetation. The study did not measure or analyze aspects of management or governance as a dimension of park quality itself."
mceachan2018.pdf,"The study operationalizes greenspace quality through parent-reported satisfaction, which is explicitly contrasted with the 'quantity' of green space. The interpretation section of the summary states, ""Satisfaction with the quality of green space appears to be a more important predictor of wellbeing than does quantity of green space.""",[],"No qualifying content was identified. The study's measure of green space (NDVI) was treated as a measure of quantity, not quality. No other ecological or environmental aspects were measured as part of greenspace quality.",[],"No qualifying content was identified. While the discussion section mentions that another study found satisfaction was predicted by amenities and lack of incivilities, these physical features were not measured or analyzed as components of quality in this study's Methods or Results sections.",['Perceived quality'],"The study treats perceived quality as a dimension of greenspace quality through a measure of satisfaction. In the Methods section, it states: ""A subsample of respondents was asked to rate satisfaction with, and use of, local green spaces... Parents were then asked to report which green space they used most frequently in summer months and were asked how satisfied they were with its quality, with responses recorded on a five-point Likert-type scale ranging from 1 (very dissatisfied) to 5 (very satisfied), where 3 was a neutral response."" This measure of 'satisfaction with green space' was then used in regression models as a predictor of children's wellbeing.",[],No qualifying content was identified. The study does not measure or analyze any management or governance aspects as part of its assessment of greenspace quality.
battisti2020a.pdf,"The study frames 'good quality' and 'high-quality' residential greenery in terms of its physical characteristics, ecological composition, and management. The abstract describes good quality areas as being ""well kept and rich of a wide range of elements (e.g., shade providing shrubs and trees with banks, playground, flower beds, gardens, lawns and meadows)."" The conclusion further elaborates that high-quality greenery involves ""ecological design with responsible plant use, sustainable waste and water management,"" and that its creation and conservation requires a ""combination of high-quality residential greenery with green buildings, the participative management of residential greenery and the definition of quality standards.""","['Biodiversity and/or habitat', 'Vegetation and/or flora']","Vegetation and/or flora: This was treated as a quality dimension through the analysis of plant composition. In the Methods section, the study states, ""the floristic composition of the green areas was mapped."" The Results section describes the plant composition in detail, listing dominant tree and shrub species, and notes that it is possible to ""recognize one area from another by looking at the composition and structure of the green areas.""
Biodiversity and/or habitat: This was treated as a quality dimension by assessing the variety of plants. The Results section notes that certain study areas ""hold the most well-kept residential greenery with a greater diversity of plant species.""","['Facilities and/or amenities', 'Maintenance and/or cleanliness', 'Design and/or aesthetics', 'Size and/or acreage']","Facilities and/or amenities: This was a key component of quality, measured by surveying the elements present in the green spaces. The Methods state: ""In each plot common elements of the residential greenery (e.g., meadows, trees and shrubs, gardens, playgrounds, bike storages, flowerbeds) were surveyed."" The Results section lists ""benches, playgrounds, bike storages, lamps, green balconies"" as typical elements and notes the condition of playgrounds (""generally in good condition"").
Maintenance and/or cleanliness: This was treated as a quality dimension through direct observation during fieldwork. The Results section describes some areas as holding the ""most well-kept residential greenery"" and notes that in some areas, ""green areas have a high maintenance,"" while others are ""less managed.""
Design and/or aesthetics: This was assessed through observation of the physical characteristics of the green spaces. The Results section notes that some areas ""do not have particular botanical or design characteristics."" The presence or absence of specific design elements like ""green walls and bioswales"" was also recorded.
Size and/or acreage: The size of the green areas was measured and used to characterize the different sites. The Results section provides the size of sample plots for different areas, describing some as ""smaller"" (e.g., ""around 480 m²"") and others as ""larger"" (e.g., ""around 1550 m²"").","['Social interactions and/or community-building', 'Stewardship behavior']","Social interactions and/or community-building: This aspect was identified as relevant to the quality of the green space through field observations of user dynamics. The study's ""field survey highlighted also conflicts within usage among local citizens. As an example, while some enjoy using the newly designed residential green space with their children, older neighbors complain about the noise generated.""
Stewardship behavior: This was identified as a quality indicator through observation of resident involvement. The Results section notes that in certain areas, ""Residents are particularly attentive to the care of their residential greenery.""",[],"No qualifying content was identified. While the paper discusses the importance of 'co-design', 'co-maintenance', and 'participative management' as key requirements for high-quality residential greenery in the introduction and conclusion, these aspects were not directly measured or analyzed as part of the preliminary results presented in the article. The study's methods focused on the physical and ecological characteristics of the sites."
banda2014.pdf,"The study operationalized park quality using the Quality Physical Activity Resource (QPAR) index score. This score was calculated based on data collected with the Physical Activity Resource Assessment (PARA) instrument at the park level. The formula is explicitly stated as: ""number of different features + number of different amenities - number of different incivilities.""",['Vegetation and/or flora'],"Vegetation and/or flora: While not part of the overall QPAR index score, the condition of open space within parks was assessed as a measure of the park environment. An ""open space condition rating"" was created for target areas categorized as open space. This rating was based on two items from the PARA instrument's incivilities list: ""no grass and overgrown grass. These 2 items were reverse scored and averaged to represent the open space target area condition rating.""","['Facilities and/or amenities', 'Maintenance and/or cleanliness']","Facilities and/or amenities: This was a core component of the park quality measure. The Physical Activity Resource Assessment (PARA) instrument was used to document ""the absence or presence of 13 features and 12 amenities."" The total number of different features and amenities were added together as the positive components of the Quality Physical Activity Resource (QPAR) index score. Additionally, when features and amenities were present, ""their condition is rated as ‘poor,’ ‘mediocre,’ or ‘good’ using operational definitions.""

Maintenance and/or cleanliness: This was measured through the assessment of incivilities and the condition of facilities. The PARA instrument was used to document ""the absence or presence of 12 incivilities... (eg, litter and vandalism)"". The ""number of different incivilities"" was subtracted in the calculation of the QPAR index score, directly framing the lack of incivilities (a proxy for good maintenance and cleanliness) as a component of higher quality. The quantity of present incivilities was also rated. Furthermore, the condition of features and amenities was rated as ""poor,"" ""mediocre,"" or ""good,"" which reflects the level of maintenance.",[],"No qualifying content was identified. The study's measure of park quality, the QPAR index, was based on an audit of physical features, amenities, and incivilities. It did not include any measured social or experiential dimensions.",[],"No qualifying content was identified. The study's measure of park quality, the QPAR index, was based on an audit of physical features, amenities, and incivilities. It did not include any measured management or governance dimensions."
chen2019b.pdf,"The study defines park quality based on ""park features and characteristics identified in the literature as being appealing to youth,"" which are categorized into five components: ""facility, amenity, aesthetic feature, maintenance and cleanliness, and incivility."" Quality was measured using a modified version of a direct-observation tool called Parks, Activity, and Recreation among Kids (PARK). An overall park quality score was calculated for each park based on standardized sub-scores for each of the five components.","['Vegetation and/or flora', 'Water quality and/or hydrology']","Ecological and environmental aspects were measured as part of the 'aesthetic feature' component of park quality. The study identifies 'aesthetic feature (water features, decorative elements)' as one of the five key characteristics for children. The introduction further elaborates on aesthetic features being important, including 'landscaping, water features, and green space' and 'natural elements like tree canopies, water features, and vegetation'. The aesthetic feature score was calculated based on audits using a modified PARK tool, which included '6 item points and 3 general performance points'.","['Facilities and/or amenities', 'Maintenance and/or cleanliness', 'Safety and/or security', 'Design and/or aesthetics']","Facilities and/or amenities: This was measured as two separate components of park quality: 'facility' and 'amenity'. The study provides examples for each: 'facility (tennis court, basketball court, and badminton), amenity (equipment rental, drinking fountain, and sitting benches)'. Audits were conducted to score these components based on a set number of item and performance points.
Maintenance and/or cleanliness: This was measured as a distinct component of park quality. The study audited features such as 'pool condition, toilet condition, and adjacent streets have traffic calming measures'. The score was based on '7 item points and 3 general performance points'.
Safety and/or security: This was measured through the 'incivility' component of park quality. The study notes that incivility reflects safety issues and provides examples of audited items like 'safe measures, graffiti, and vandalism'. It also states, 'For instance, ""Is the park safe?"" can be a measure of Incivility'. The score was based on '4 item points and 3 general performance points'.
Design and/or aesthetics: This was measured through the 'aesthetic feature' component of park quality. Audited items included 'water features, decorative elements'. The score was based on '6 item points and 3 general performance points'.",['Recreation and/or leisure opportunities or programming'],"Recreation and leisure opportunities were measured through the 'facility' and 'amenity' components of park quality. The study used a modified version of the PARK tool, which was originally 'designed to assess five domains based on a conceptual model of parks and physical activity, including activities'. The study's modified tool audited the presence and performance of specific recreational facilities like 'tennis court, basketball court, and badminton' and amenities like 'equipment rental' to generate scores for these components.",[],"No qualifying content was identified. The study does not directly measure or analyze any management or governance aspects as components of its park quality score. While the discussion section mentions factors like public funding, these were not operationalized as variables in the Methods or Results sections to calculate park quality."
fornal-pieniak2023.pdf,"The study defines park quality as 'scenic qualities'. This concept is operationalized through a quantitative survey measuring visitor preferences regarding the management and appearance of forests within manor parks. The introduction also references a legal definition of landscape values as “ecological, aesthetic or cultural values of the area and the relief, creations and components of nature shaped by the forces of nature or human activity”.","['Biodiversity and/or habitat', 'Vegetation and/or flora']","The study treats the composition and appearance of forest vegetation as a component of scenic quality. This was measured by asking respondents to rate their agreement with several statements on a 5-point scale. One statement directly addresses biodiversity and flora: ""the current appearance of the forest should be preserved with consideration of the species that historically occurred here"". Other statements also relate to the state of vegetation, such as preserving ""the current appearance of the forests... without conversion"" and maintaining or retaining ""the historic appearance of the forest"".","['Facilities and/or amenities', 'Design and/or aesthetics']","Facilities and amenities are included as a dimension of scenic quality by measuring visitor preferences for their inclusion or exclusion. This was measured by asking respondents to rate statements on a 5-point scale, including: ""the current appearance of the forest should be maintained with the addition of recreational infrastructure features"", ""the historic appearance of the forest should be maintained without the addition of recreational facilities"", and ""the historic appearance of the forest should be retained, recreational infrastructure features should be introduced.""

Design and aesthetics are the central component of 'scenic qualities'. This was measured by asking respondents to rate their preference for different aesthetic outcomes for the park's forest, such as preserving the ""current appearance"" or maintaining the ""historic appearance"".",['Perceived quality'],"The entire measurement of 'scenic qualities' is based on visitor perceptions. The study measured perceived quality by asking respondents to rate a series of statements about the park's forest. The methods state: ""Selected criteria of scenic qualities [27]: (position scale 1–5: 1—definitely irrelevant factor; 5—definitely relevant factor).""",['Planning and/or policy'],"Scenic quality is assessed through visitor preferences for different management and planning strategies for the park's forest. The survey presented respondents with different policy options to rate on a 5-point scale. These options included: ""the current appearance of the forests should be preserved without conversion"", preserving the forest with consideration for historical species, maintaining the current appearance with added infrastructure, maintaining the historic appearance without added facilities, and retaining the historic appearance while introducing infrastructure."
ghanem2024.pdf,"The study defines greenspace quality based on a scoring criterion contingent on six quality facets, which were assessed via virtual observation. The methodology states that ""a special emphasis was placed on direct observations on the six facets that define “quality” in greenspace as articulated in Table 1"". The six facets are: Safety and Security, Environmental elements, Accessibility, Maintenance and Cleanliness, Amenities and Facilities, and Aesthetics.","['Biodiversity and/or habitat', 'Vegetation and/or flora']","The study combined these aspects into a single quality facet called 'Environmental elements'. This facet was treated as a component of greenspace quality and was measured using a 5-point scale based on virtual observation. The Results section states this domain ""largely pivoted around vegetational facets such as the presence of water bodies, green features, sufficient biodiversity and the engagement of a rich ecosystem."" 
- Biodiversity and/or habitat: This was assessed through the visual presence of ""a variety of environmental elements"" and indicators of a ""rich ecosystem"". The methods section notes that ""animal biodiversity"" was excluded from the assessment, so this dimension focused on the diversity of vegetation and habitat features.
- Vegetation and/or flora: This was assessed based on the amount and variety of vegetation. The scoring criteria in Table 1 for 'Environmental elements' range from ""Poor attempts of vegetation"" (score 1) to ""Greenness is plentiful, a variety of environmental elements encapsulating the space with water bodies/banks"" (score 5).","['Facilities and/or amenities', 'Maintenance and/or cleanliness', 'Safety and/or security', 'Design and/or aesthetics', 'Internal accessibility', 'External accessibility']","The study measured five distinct physical/functional facets of greenspace quality, each scored on a 5-point scale based on virtual observation using a criteria table (Table 1).
- Facilities and/or amenities: Assessed as the 'Amenities and Facilities' facet. The measurement was based on the number and type of facilities present. The scoring criteria ranged from ""No facilities with no spacious zones for recreation"" to ""3 or more facilities and an abundance of space for recreational opportunities with all necessary amenities"". This included features like ""playgrounds, sporting ovals, and outdoor gyms"" and amenities like ""BBQ shelter toilets and drinking fountains"".
- Maintenance and/or cleanliness: Assessed as the 'Maintenance and Cleanliness' facet. This was measured by observing the ""Preservation, state of equipment, trimmed landscape and tidiness"". Scores ranged from a ""Neglected space. Contains untrimmed vegetation, graffiti, trash, and deteriorated equipment"" to a space in an ""exceptional state. Tidy and neat vegetation, no discolouration, and no degradation. A nurtured space"".
- Safety and/or security: Assessed as the 'Safety and Security' facet. This was measured by observing features related to safety, including ""Artificial illumination, signage, fencing and characteristics of surroundings"". Scores ranged from ""No artificial lighting present. Unsafe and vulnerable space with no safety features"" to ""Numerous streetlights adjacent to the space. Light poles and signage are present. Contains handrails, fencing, and clear visibility"".
- Design and/or aesthetics: Assessed as the 'Aesthetics' facet. This was measured based on the visual appeal of the landscape, described as ""Appealing and multi-coloured landscape and vibrant scenery"". Scores ranged from ""Uncoloured scenery. No patterned terrain and landscape"" to ""Multi-coloured panorama, numerous spatial plantings, patterned terrain. Spacious, opportunity for rest/comfort"".
- Internal accessibility & External accessibility: These were assessed together under a single 'Accessibility' facet. The study observed ""the means of entering the space and the extent to which users could access it"". This included internal features like ""Pathways, bike trails, wheelchair accessibility"" and external features like ""points of entry"" and ""parking"". Scores ranged from ""Heavily obstructed access and no variety of mobility"" to ""4 or more entry points with bike paths/trails, wheelchair mobility and parking"".",[],"No qualifying content was identified. The study's quality assessment framework (Table 1) focused on observable physical, functional, and environmental characteristics of greenspaces. It did not include any directly measured social or experiential dimensions such as perceived quality, social interactions, or recreational programming.",[],"No qualifying content was identified. The study's quality assessment framework (Table 1) did not directly measure or analyze any aspects of management or governance, such as planning processes, citizen participation, or funding. While the study mentions policy implications in the discussion, these were not part of the quality measurement itself."
putra2021b.pdf,"The study defines green space quality based on a single, subjective measure from a caregiver survey. The definition is operationalized through caregiver responses to a single statement. As stated in the Methods section: ""Green space quality was measured using caregiver perception on the quality of neighbourhood green space. Caregivers were asked to rate on the following statement: 'There are good parks, playgrounds and play spaces in this neighbourhood'. Four responses were provided: strongly disagree, disagree, agree, and strongly agree.""",[],"No qualifying content was identified. The study's measure of green space quality was based on caregiver perception of the presence of parks, playgrounds, and play spaces, and did not include any direct measurement or analysis of ecological or environmental aspects such as biodiversity, vegetation, or air/water/soil quality.",['Facilities and/or amenities'],"Facilities and/or amenities are treated as a dimension of green space quality because the entire quality measure is based on caregiver perception of their presence and quality. The measurement is based on a single survey item asking caregivers to rate their agreement with the statement: ""There are good parks, playgrounds and play spaces in this neighbourhood"". The presence of these features represents the facilities and amenities dimension.","['Perceived quality', 'Recreation and/or leisure opportunities or programming']","Perceived quality: The study's measure of green space quality is entirely based on subjective perception. The Methods section states, ""Green space quality was measured using caregiver perception on the quality of neighbourhood green space.""

Recreation and/or leisure opportunities or programming: The quality measure is explicitly tied to the presence of recreational facilities. The survey item asks about ""good parks, playgrounds and play spaces,"" which are amenities that provide opportunities for recreation and leisure.",[],No qualifying content was identified. The study did not measure or analyze any management or governance aspects as part of its definition or operationalization of green space quality.
stanley2022.pdf,"The study defines UGS (Urban Green Space) quality as a score determined by comparing the supply of UGS features with the demands of users. It is calculated as a weighted sum of various UGS features, where the weights are derived from user surveys on the importance of those features for specific activities. The paper states, ""The UGS quality is determined by comparing the supply of UGS with the demands of users and will, thus, depend on the particular needs of each section of the population."" The final quality score is described as ""the sum of all weighted UGS features related to the three most frequently mentioned activities, namely walking, relaxing and observing nature."" UGS are then classified into high, medium, and low quality based on this score.","['Biodiversity and/or habitat', 'Vegetation and/or flora', 'Water quality and/or hydrology', 'Air quality and/or microclimate']","The study's UGS quality score is a composite of several features, including ecological ones, whose importance was rated by survey respondents. For each feature, an indicator was developed and its value normalized. 
- Biodiversity and/or habitat: This was represented by the UGS features 'Animals' and 'Structural diversity'.
- Vegetation and/or flora: This was represented by the features 'Naturalness', 'Much greenery', 'Trees', and 'Meadow'.
- Water quality and/or hydrology: This was represented by the feature 'Water elements'.
- Air quality and/or microclimate: This was represented by the feature 'Shade'.
The article specifies how some of these were measured: ""three features (trees, shade and naturalness) were at least partially calculated by the same indicator (share of tree crown area in a green space)"". The specific indicators for the other ecological features are not detailed in the main text, but the study notes that data were drawn from sources like OpenStreetMap and municipal open data.","['Facilities and/or amenities', 'Maintenance and/or cleanliness', 'Design and/or aesthetics']","The UGS quality calculation incorporated physical and functional features based on their importance to survey respondents. For each feature, a quantitative indicator was developed, normalized, and weighted.
- Facilities and/or amenities: Represented by the UGS feature 'Benches'.
- Maintenance and/or cleanliness: Represented by the UGS feature 'Cleanliness'.
- Design and/or aesthetics: Represented by the UGS feature 'Aesthetics'.
The article states that ""a suitable indicator had to be developed for each UGS feature,"" but the specific methods for measuring these indicators are not described in the main text. Data sources for the indicators included ""municipal (open) data from the City of Dresden, VGI data from OpenStreetMap (OSM) and social media posts.""",['Perceived quality'],"The study's quality assessment is fundamentally based on user perceptions, as the weights for all features are derived from surveys of their importance. One specific experiential feature was explicitly included in the quality calculation:
- Perceived quality: This was represented by the UGS feature 'Tranquillity'. The article states that ""a suitable indicator had to be developed for each UGS feature,"" but the specific indicator used to quantify 'Tranquillity' for each UGS is not described in the main text.",[],"No qualifying content was identified. The study's assessment of UGS quality is based on ecological, physical, and experiential features of the green spaces themselves, as rated by users. It does not measure or analyze any aspects related to management or governance, such as planning processes, citizen participation, or funding allocation, as part of its quality score."
baka2022.pdf,"The study operationalizes 'greenspace quality' as a composite of several characteristics assessed for both formal and informal greenspaces. The quality of these characteristics was assessed remotely using Google Street View and assigned a Likert-type score from 1 (very poor) to 5 (excellent). The overall quality was also calculated as a sum of the scores for each characteristic. The specific characteristics measured are: Accessibility, Security, Cleanness, Greenness, Well-kept, Aesthetics, Biodiversity, Tranquillity, Facilities, and proximity to public transport.","['Biodiversity and/or habitat', 'Vegetation and/or flora', 'Acoustic environment & soundscape']","Greenspace quality was assessed based on several ecological and environmental characteristics, each scored on a 5-point Likert scale using a coding guide (Table 1).
- Biodiversity and/or habitat: Measured as 'Biodiversity'. A score of 5 (Excellent) was given for a 'Greenspace labelled as nature reserve, wildlife reserve etc.', while a score of 1 (Very poor) was for '1-2 species of trees/bushes'.
- Vegetation and/or flora: Measured as 'Greenness'. A score of 5 (Excellent) was for a 'Forest/large park with lots of vegetation', while a score of 1 (Very poor) was for 'Greenspace with little grass and few trees'.
- Acoustic environment & soundscape: Measured as 'Tranquillity'. A score of 5 (Excellent) was for a 'Secluded area away from major roads or large buildings, or greenspace large enough that centre is secluded', while a score of 1 (Very poor) was for a location 'Next to construction or motorway'.","['Facilities and/or amenities', 'Maintenance and/or cleanliness', 'Safety and/or security', 'Design and/or aesthetics', 'Internal accessibility', 'External accessibility']","Greenspace quality was assessed based on several physical and functional characteristics, each scored on a 5-point Likert scale using a coding guide (Table 1).
- Facilities and/or amenities: Measured as 'Facilities'. A score of 5 (Excellent) was for 'At least 3 activities and space for events', while a score of 1 (Very poor) was for 'None'.
- Maintenance and/or cleanliness: This was measured through two separate characteristics. 'Cleanness' was scored from 5 (Excellent, implied state) down to 1 (Very poor) for a 'Combination of litter and dumping'. 'Well-kept' was scored from 5 (Excellent) for 'Grass cut and clean with no brown patches, flower pots filled, trees trimmed, equipment in good shape, surroundings neat and tidy' down to 1 (Very poor) for 'Derelict or abandoned'.
- Safety and/or security: Measured as 'Security'. A score of 5 (Excellent) was for a 'Lively and safe surrounding area, i.e. well-lit with good visibility and close to visibly inhabited buildings. Excellent state', while a score of 1 (Very poor) was for a 'Combination of darkness/ poor lighting and visible dereliction'.
- Design and/or aesthetics: Measured as 'Aesthetics'. A score of 5 (Excellent) was for 'Exceptional beauty, for instance lakes, flowerbeds etc.', while a score of 1 (Very poor) was for a 'Visibly degraded environment'.
- Internal accessibility: Measured as 'Accessibility'. A score of 5 (Excellent) was for being 'Open at all times and wheelchair access', while a score of 1 (Very poor) was for 'No access'.
- External accessibility: This was measured by proximity to public transport. 'Nearest metro', 'Nearest bus', and 'Nearest train' were scored based on walking time, with a score of 5 for '<1 min walk' and a score of 1 for '30 min + walk'.",[],No qualifying content was identified. The study used remote observation via Google Street View and did not directly measure or analyze any social or experiential dimensions of greenspace quality.,[],No qualifying content was identified. The study did not directly measure or analyze any management or governance dimensions of greenspace quality.
