File_Name,Regulating_Ecosystem_Services,Regulating_Ecosystem_Services_Detail,Cultural_Ecosystem_Services,Cultural_Ecosystem_Services_Detail,Provisioning_Ecosystem_Services,Provisioning_Ecosystem_Services_Detail,Health_and_Wellbeing,Health_and_Wellbeing_Detail,Social_and_Community_Outcomes,Social_and_Community_Outcomes_Detail,Economic_Outcomes,Economic_Outcomes_Detail
roe2016.pdf,[],"No relevant outcome information was identified. The study did not measure or analyze any regulating ecosystem services such as climate regulation, flood management, or air purification as outcomes of greenspace quality.",[],"No relevant outcome information was identified. The study measured perceptions of greenspace attractiveness and patterns of recreational use, but these were treated as indicators of greenspace quality or as predictors of health outcomes, not as outcomes of greenspace quality themselves.",[],No relevant outcome information was identified. The study did not measure or analyze any provisioning ecosystem services such as food or fresh water production.,['Psychological health'],"The study's primary outcome measure was self-rated 'General Health,' a measure of subjective well-being. This was measured using a single-item, 5-category Likert scale from 1 (very good health) to 5 (very poor health). The study used Correlated Component Regression (CCR) to analyze predictors of general health for three distinct ethnic health segments. For the 'Mixed BME' group (described as having the 'worst health'), perceptions of greenspace quality, specifically 'GS Satisfaction' and 'GS Safety,' were identified as significant predictors of general health. The results showed that 'Higher GS satisfaction' and 'Higher GS safety' were associated with better health in this group (Table 3, page 11; page 12).",[],"No relevant outcome information was identified. The study measured social variables such as neighborhood trust, place belonging, and social patterns of greenspace use. However, these were analyzed as predictors of health, not as outcomes resulting from greenspace quality.",[],No relevant outcome information was identified. The study did not measure or analyze any economic outcomes related to greenspace quality.
cengiz2012.pdf,[],"No regulating ecosystem services were explicitly analyzed or measured as outcomes of park or greenspace quality. Although Table 4 lists 'Effect on urban climate' as a criterion for ecological quality, this was not measured or analyzed in the Results section. The study's evaluation of ecological quality focused on assessing vegetation diversity and condition as indicators of quality, not on measuring regulatory outcomes.","['Aesthetic', 'Recreational']","The study analyzed cultural ecosystem services as outcomes of urban public green space (UPGS) quality through a survey of 150 users. Recreational outcomes were measured by evaluating user preferences for different 'use-activities' such as sitting areas, playgrounds, and walking tracks (Table 6, Fig. 2). Aesthetic outcomes were measured by asking users to rate the 'comfort and image' of the parks, which included the sub-headings 'vegetation' and 'attractiveness' (Fig. 2). The results present percentage ratings of user preferences for these recreational and aesthetic qualities across five different parks.",[],No provisioning ecosystem services were analyzed or measured as outcomes of park or greenspace quality in the Methods or Results sections.,[],"No health and well-being outcomes were analyzed or measured as outcomes of park or greenspace quality. While the study measured recreational activities, it did not measure any resulting physiological or psychological health effects.","['Use, engagement, recreation', 'Social interaction, cohesion', 'Equity, environmental justice']","The study analyzed social and community outcomes through user surveys and behavior mapping. 'Use, engagement, recreation' was a central outcome, measured via survey questions on preferred activities (Table 6) and direct observation of user behavior in the parks (Table 7). 'Social interaction, cohesion' was measured as an outcome through the survey criterion of 'sociability,' which included 'socializing' and 'evening use' (Fig. 2). The results show user ratings for each park on these dimensions. 'Equity, environmental justice' was addressed by analyzing user perceptions of park 'accessibility,' specifically including 'accessible for the disabled' as a measured criterion in the survey (Fig. 2).",[],"No economic outcomes were analyzed or measured as outcomes of park or greenspace quality. Although 'Economic quality' was assessed by experts (Table 8), this was treated as a component of overall environmental quality, focusing on internal economic functions like the presence of tea houses or kiosks, rather than as a measured outcome like property value changes or tourism impacts."
southon2017.pdf,[],"No regulating ecosystem services were measured as outcomes. The study provided information on biodiversity benefits (e.g., abundance of bees and butterflies) to assess its influence on participants' tolerance for meadow appearance, but did not measure changes in biodiversity, climate regulation, or other RES as a dependent variable resulting from greenspace quality.",['Aesthetic'],"The study directly measures aesthetic outcomes of different meadow planting styles, which represent a dimension of greenspace quality. In Phase 1, a photo elicitation study was used to assess ""site users' preference for meadow style plantings relative to other planting styles"" using a 1-10 preference score (Section 2.4). The results show that ""meadow images received higher preference scores than images of herbaceous and formal bedding styles"" (Section 3.1). In Phase 2, the study assessed how ""plant species richness and structural diversity were associated with respondents' preference scores (an indicator of aesthetic value)"" for experimentally created meadow plots, again using a 1-10 preference score (Section 2.5). The results show that ""all of the meadow treatments had higher preference scores than the replicate standard mown amenity grass treatment"" and that ""Preference scores increased with plant species richness"" (Section 3.3). The study also measured respondents' ""willingness to tolerate the current appearance of each plot"" outside the flowering season as an aesthetic outcome (Section 2.5, 3.4).",[],No provisioning ecosystem services were measured or analyzed as outcomes of greenspace quality in the study.,[],No health and well-being outcomes were measured or analyzed as outcomes of greenspace quality in the study.,['Other'],"The study analyzed perceptions of site quality and site appreciation as outcomes of meadow creation. Under the 'Other' category, the specific outcomes are 'perceived site quality' and 'site appreciation'. In the Methods (Section 2.4), researchers asked respondents at experimental (meadow) and control sites, ""'Do you feel that the site has changed in quality over the last year?' (scored on a five point Likert scale...)"" and ""'Has this change altered your appreciation of the site?' (scored on a five-point Likert scale...)"". The Results (Section 3.2) show that ""Respondents were significantly more likely to report positive changes in site quality at sites where experimental meadow treatments were introduced than at control sites"". Furthermore, the study found that 65% of respondents who cited the meadows as a reason for site quality changes ""stated that the meadows had improved their appreciation of the site"".",[],"No economic outcomes were measured as outcomes of greenspace quality. The study used information on potential cost savings from reduced mowing to assess its influence on participants' tolerance for meadow appearance, but did not measure actual cost savings or other economic benefits as a dependent variable."
mceachan2018.pdf,[],No relevant outcome information was identified. The study did not analyze or measure any regulating ecosystem services as outcomes of park or greenspace quality.,[],"No relevant outcome information was identified. While the study measured 'use of' green space, it was treated as an independent variable in regression models predicting mental wellbeing, not as a dependent outcome of greenspace quality.",[],No relevant outcome information was identified. The study did not analyze or measure any provisioning ecosystem services as outcomes of park or greenspace quality.,['Psychological health'],"The study's primary outcome was children's mental wellbeing, a measure of psychological health. The Methods section states: 'The primary outcome was parent-reported mental wellbeing for children aged 4 years, assessed with the standardised Strengths and Difficulties Questionnaire (SDQ). Total, internalising, and externalising behavioural difficulties and prosocial behaviour scales were computed'. The study used multiple regression to analyze the association between greenspace availability (NDVI) and quality (satisfaction with local green spaces) and these mental wellbeing outcomes. The Results section reports that among South Asian children, 'more green space was associated with fewer internalising behavioural difficulties... and with fewer total behavioural difficulties', and that 'satisfaction with green space was significantly associated with fewer total behavioural difficulties..., fewer internalising behavioural difficulties..., and greater prosocial behaviour'.",[],"No relevant outcome information was identified. The study did not analyze or measure social or community outcomes, such as social cohesion or equity, as dependent variables resulting from park or greenspace quality. While moderation by ethnicity was explored, the outcome remained mental health.",[],No relevant outcome information was identified. The study did not analyze or measure any economic outcomes of park or greenspace quality.
battisti2020a.pdf,[],"No relevant outcome information was identified. The study describes the physical and botanical characteristics of residential greenery (e.g., presence of bioswales, plant composition) but does not measure or analyze any regulating ecosystem services (such as stormwater management or air purification) as an outcome of these characteristics.",['Recreational'],"The study analyzes recreational outcomes of residential greenery quality. The Results and Discussion section notes that some green areas ""provide large places to spend pleasant time, especially during the summer."" It also reports that the field survey ""highlighted also conflicts within usage among local citizens. As an example, while some enjoy using the newly designed residential green space with their children, older neighbors complain about the noise generated."" This represents an analysis of recreational use and associated social conflicts as an outcome of the greenspace design and use.",[],"No relevant outcome information was identified. The study mentions the presence of gardens but does not analyze or measure any provisioning services, such as food production, as an outcome.",[],"No relevant outcome information was identified. Although the study is motivated by improving well-being and fostering ""health relevant ecosystem services,"" the Methods and Results sections do not include any analysis or measurement of physiological or psychological health outcomes for residents. The paper presents preliminary results focused on characterizing the greenspaces themselves.","['Use, engagement, recreation', 'Social interaction, cohesion']","The study analyzes use and social interaction as outcomes of residential greenspace. The field survey observed how residents use the spaces, noting that some areas ""provide large places to spend pleasant time."" This qualifies as ""Use, engagement, recreation."" The study also explicitly analyzed social conflict as an outcome, stating in the Results and Discussion that the ""field survey highlighted also conflicts within usage among local citizens. As an example, while some enjoy using the newly designed residential green space with their children, older neighbors complain about the noise generated."" This qualifies as ""Social interaction, cohesion.""",[],No relevant outcome information was identified. The study does not mention or analyze any economic outcomes related to residential greenspace quality in its Methods or Results sections.
banda2014.pdf,[],No qualifying information was identified. The study did not analyze or measure any regulating ecosystem services as outcomes of park quality.,['Recreational'],"Recreational use was analyzed as an outcome of park quality. The study's purpose was to ""examine the relationship between park characteristics and park use."" The Methods section describes using the System for Observing Play and Recreation in Communities (SOPARC) to document park use. The statistical analysis used logistic regression to ""determine whether the likelihood of observing use differed by target area condition, number of amenities in a target area, and number of incivilities in a target area."" The Results section reports that the ""number of amenities in a target area was positively associated with target area use for play equipment.""",[],No qualifying information was identified. The study did not analyze or measure any provisioning ecosystem services as outcomes of park quality.,[],"No qualifying information was identified. Although the study observed the physical activity levels of park users, these were characteristics of the park use being observed. The study did not analyze physiological or psychological health status (e.g., obesity rates, stress levels) as an outcome of park quality for a given population.","['Use, engagement, recreation']","Park use was the primary outcome analyzed as a consequence of park quality. The study's stated purpose was to ""examine the relationship between park characteristics and park use."" In the Methods section, the statistical analysis aimed to determine the ""Relationship Between Target Area Characteristics and Use."" Logistic regression models were used to assess whether the likelihood of observing use in a target area was associated with park quality characteristics, specifically ""target area condition, number of amenities in a target area, and number of incivilities in a target area."" The Results section presents findings from this analysis, such as ""The number of incivilities in a target area was positively associated with target area use.""",[],No qualifying information was identified. The study did not analyze or measure any economic outcomes of park quality.
chen2019b.pdf,[],No relevant outcome information was identified. The study does not analyze or measure any regulating ecosystem services as outcomes of park quality.,[],"No relevant outcome information was identified. The study measures aesthetic features as a component of park quality itself, not as an outcome resulting from park quality. Other cultural ecosystem services like recreation are mentioned conceptually but not measured as dependent outcomes.",[],No relevant outcome information was identified. The study does not analyze or measure any provisioning ecosystem services as outcomes of park quality.,[],"No relevant outcome information was identified. While the study mentions that park quality can affect health and physical activity in the introduction and discussion, it does not empirically measure or analyze any physiological or psychological health indicators as outcomes of park quality in its Methods or Results sections.","['Equity, environmental justice']","The study analyzes the equitable distribution of park quality as an outcome. It explicitly examines the correlation between park quality and 'Park Need,' which is an index of socio-demographic disadvantage. The Methods section describes using multiple linear regression to analyze the relationship between Park Access (which includes Park Quality) and Park Need (the dependent variable). The Results section (3.3) and Table 3 present a bivariate analysis of the correlations between 'Overall Park Quality' and the contributing variables of the 'Park Need Index,' finding significant negative correlations with poverty and renter rate. This directly assesses whether park quality is equitably distributed across communities with varying levels of need.",[],No relevant outcome information was identified. The study does not analyze or measure any economic outcomes of park quality.
fornal-pieniak2023.pdf,[],"No regulating ecosystem service outcomes were explicitly analyzed or measured as outcomes of park quality. The study's focus was on visitor preferences for cultural services and scenic qualities, not on biophysical processes like climate or flood regulation.","['Aesthetic', 'Educational', 'Recreational']","The study analyzed several cultural ecosystem service outcomes by measuring visitor preferences related to manor park qualities. Aesthetic outcomes were measured by surveying visitor preferences for different 'criteria of scenic qualities' on a 5-point scale. These criteria included statements about preserving the current or historic appearance of the park's forests (e.g., 'the current appearance of the forests should be preserved without conversion', 'the historic appearance of the forest should be maintained without the addition of recreational facilities'). Educational outcomes were analyzed by including 'learning about the history of manor parks' as a potential reason for visiting in the survey questionnaire. Recreational outcomes were analyzed by asking for 'Reasons for visiting manor parks,' which included 'relaxing in manor parks,' and by assessing preferences for the addition of 'recreational infrastructure features' and tourism-related services like 'the possibility of hiring a guide'.",[],"No provisioning ecosystem service outcomes were explicitly analyzed or measured as outcomes of park quality. The study did not investigate products obtained from the parks such as food, water, or fiber.",[],"No health and well-being outcomes were explicitly analyzed or measured as outcomes of park quality. While 'relaxing in manor parks' was a measured reason for visiting, the study did not measure psychological or physiological health indicators such as stress reduction or physical activity levels.","['Use, engagement, recreation', 'Equity, environmental justice', 'Stewardship, education']","The study analyzed several social and community outcomes. 'Use, engagement, recreation' was measured by analyzing the 'Reasons for visiting manor parks,' which included 'relaxing in manor parks,' 'interest in greenery in manor parks,' 'the interesting appearance of parks,' and 'places attractive to tourists.' 'Equity, environmental justice' was a central outcome, as the study's main hypotheses and statistical analyses (U Mann-Whitney test, Chi2 Pearson test) focused on how preferences for ecosystem services and scenic qualities differed across three per capita income groups. 'Stewardship, education' outcomes were analyzed by measuring visitor preferences for management options related to preserving the historical and natural character of the parks, as well as preferences for the 'involvement of the local community in running this type of place.' The educational aspect was also measured by asking if 'learning about the history of manor parks' was a reason for visiting.",['Economic impacts of recreation & tourism'],"The study analyzed visitor preferences for services that are directly related to the economic impacts of recreation and tourism. In the Methods section, the questionnaire included 'Selected criteria of ecosystem services' which were rated on a 5-point scale. These criteria included 'the possibility of buying souvenirs', 'the possibility of hiring a guide', 'tourist information in the media', 'the promotion of the manor park', and 'accommodation nearby or in the area'. The Results section analyzes how the importance of these tourism-related services varies as an outcome of visitor income."
ghanem2024.pdf,[],No relevant outcome information was identified. The study's purpose is to assess and compare the quality of greenspaces between low- and high-socio-economic status (SES) areas. It does not empirically measure or analyze any regulating ecosystem services as outcomes or consequences of the measured greenspace quality.,[],"No relevant outcome information was identified. While the study assesses 'Aesthetics' and 'Amenities and Facilities' (which relate to recreation) as components of greenspace quality, it does not measure cultural ecosystem services like aesthetic experience or recreational activity levels as outcomes resulting from that quality. The study's dependent variable is greenspace quality itself, not its consequences.",[],No relevant outcome information was identified. The study does not measure or analyze any provisioning ecosystem services as outcomes of greenspace quality in its Methods or Results sections.,[],"No relevant outcome information was identified. Although the introduction discusses the health benefits of greenspace, the study's empirical analysis in the Methods and Results sections does not measure or analyze any physiological or psychological health outcomes as consequences of greenspace quality.",[],"No relevant outcome information was identified. The study assesses 'Safety and Security' and 'Amenities and Facilities' as dimensions of greenspace quality, but it does not empirically measure social outcomes such as park use, engagement, or social cohesion as consequences of that quality. The analysis focuses on comparing quality scores between different socio-economic areas.",[],"No relevant outcome information was identified. The study does not measure or analyze any economic outcomes, such as property values or healthcare savings, as consequences of greenspace quality in its Methods or Results sections."
putra2021b.pdf,[],No regulating ecosystem service outcomes were explicitly analyzed or measured as outcomes of park or greenspace quality in the Methods or Results sections.,[],No cultural ecosystem service outcomes were explicitly analyzed or measured as outcomes of park or greenspace quality in the Methods or Results sections.,[],No provisioning ecosystem service outcomes were explicitly analyzed or measured as outcomes of park or greenspace quality in the Methods or Results sections.,[],"No health and well-being outcomes were explicitly analyzed or measured as outcomes of park or greenspace quality in the Methods or Results sections. While the introduction mentions that prosocial behavior is associated with health outcomes, the study itself measures prosocial behavior as the primary outcome, not subsequent health effects.","['Social interaction, cohesion', 'Equity, environmental justice']","The study analyzes two main social and community outcomes resulting from caregiver-perceived green space quality: 
1. Social interaction, cohesion: The study's primary outcome is child prosocial behaviour, a key component of social interaction. It was measured using the caregiver-reported prosocial scale from Goodman's Strengths and Difficulties Questionnaire (SDQ), which includes items like ""considerate of other people's feelings"" and ""share readily with other children"" (Methods, Section 2.2). The Results (Section 3.2, Table 3) show a multilevel linear regression analysis finding that children exposed to consistently very good quality green space had higher prosocial behaviour scores (β = 0.35; 95%CI = 0.23, 0.47) compared to those with low quality green space.
2. Equity, environmental justice: The study explicitly assesses whether green space quality can reduce socioeconomic inequalities in prosocial behaviour. Section 3.3 is titled ""Assessment of the potential role of quality green space perceived by caregivers in reducing prosocial behaviour related inequalities."" The results of multivariate models (Table 4) indicate that for children in the ""consistently in very good quality"" green space class, ""household economic position-related inequalities in child prosocial behaviour were less pronounced."" The study also analyzed how the association was modified by area disadvantage, finding it was stronger for children in more advantaged areas.",[],No economic outcomes were explicitly analyzed or measured as outcomes of park or greenspace quality in the Methods or Results sections.
stanley2022.pdf,[],"No relevant outcome information was identified. The study focuses on cultural ecosystem services based on user demands and does not explicitly analyze or measure any regulating ecosystem services (e.g., climate regulation, air purification) as outcomes of park or greenspace quality in its Methods or Results sections.","['Aesthetic', 'Recreational']","The study assesses UGS quality based on user demands for specific activities, which are primarily recreational and aesthetic in nature (e.g., 'walking', 'relaxing', 'observing nature'). The Methods section details how surveys were used to identify important UGS features that support these activities, including 'naturalness', 'tranquillity', 'aesthetics', and 'much greenery'. The UGS quality score is a weighted sum based on these features. The main outcome, analyzed in the Results section ""Supply of UGS to the elderly,"" is the calculated supply of high-quality UGS to the population. This serves as a direct measure of the provision of cultural ecosystem services (recreational opportunities and aesthetic benefits) as a function of UGS quality. For instance, the study reports that ""only 51.7% of elderly citizens are provided with at least one high-quality UGS site.""",[],"No relevant outcome information was identified. The study does not analyze or measure any provisioning ecosystem services (e.g., food, fresh water) as outcomes of park or greenspace quality.",[],"No relevant outcome information was identified. While the introduction discusses the health benefits of UGS, the study itself does not measure physiological or psychological health indicators as outcomes of park or greenspace quality in its Methods or Results sections. The analysis focuses on the supply of UGS, not its direct health impacts on the population.","['Equity, environmental justice']","The study's primary outcome is the assessment of the equitable supply of high-quality urban green spaces (UGS). The Methods section explicitly states that ""justice in the supply of UGS was determined by comparing the percentage provision to the elderly with that of the general population"" (p. 13). The analysis involves calculating UGS quality based on user demands, identifying high-quality UGS, and then intersecting their catchment areas with detailed population data. The Results section ""Supply of UGS to the elderly"" quantifies this outcome, reporting that ""only 51.7% of elderly citizens are provided with at least one high-quality UGS site"" compared to a 47.6% supply rate for the general population. The study uses this comparison to directly analyze supply equity as an outcome of considering UGS quality.",[],"No relevant outcome information was identified. The study does not analyze or measure any economic outcomes (e.g., property value, healthcare savings) resulting from park or greenspace quality."
baka2022.pdf,[],"No regulating ecosystem services were analyzed as outcomes of park or greenspace quality. The study measures characteristics like 'greenness' and 'biodiversity' as components of a greenspace quality index, but does not measure or analyze the actual ecosystem services (e.g., climate regulation, flood management) that result from these characteristics.",[],"No cultural ecosystem services were analyzed as outcomes of park or greenspace quality. The study assesses characteristics such as 'aesthetics', 'tranquillity', and the presence of 'facilities' as indicators of greenspace quality, but it does not measure the recreational use, aesthetic enjoyment, or other cultural benefits experienced by people as a result of that quality.",[],No provisioning ecosystem services were analyzed as outcomes of park or greenspace quality.,[],"No health and well-being outcomes were analyzed as outcomes of park or greenspace quality. While the paper discusses the importance of greenspace for health and wellbeing in the introduction and discussion, it does not empirically measure or analyze any physiological or psychological health outcomes for residents.","['Equity, environmental justice']","The study's central purpose is to assess equality in the distribution of quality greenspace. It explicitly analyzes greenspace quality as an outcome that varies by neighborhood socioeconomic status. The Methods section describes how greenspaces were scored on various quality characteristics (e.g., security, cleanness, aesthetics, biodiversity) and compared across neighborhood deprivation deciles (SIMD). The Results section reports statistically significant differences, concluding that 'across nearly all characteristics of greenspace, there is a statistically significant difference in assessed quality between the least deprived data zones and the most deprived, with greenspaces in more deprived areas scoring lower on the indicators of greenspace quality.' This is a direct analysis of the equitable distribution of greenspace quality.",[],No economic outcomes were analyzed as outcomes of park or greenspace quality.
sander2017.pdf,[],"No relevant outcome information was identified. The study mentions regulating services such as regulating flooding and air quality conceptually in the introduction, but does not measure or analyze any regulating ecosystem services as outcomes of greenspace quality in the Methods or Results sections.",[],"No relevant outcome information was identified. While the study discusses recreation and relaxation as potential mechanisms linking greenspace to health, it does not measure recreational activity or other cultural ecosystem services as outcomes of greenspace quality. The measured outcome is a health metric (BMI).",[],No relevant outcome information was identified. The study does not mention or analyze any provisioning ecosystem services.,['Physiological health'],"The study analyzes Body Mass Index (BMI), an indicator of physiological health related to overweight and obesity, as the primary outcome of urban greenspace characteristics. The Methods section describes how BMI was calculated from driver's license and identification card data and then aggregated to find the ""average block group male and female BMI"" for four different age groups (Section 2.1). The study then uses regression models to ""identify relationships among independent variables and BMI"" (Section 2.4). The independent variables represent various aspects of greenspace quality, including greenspace type (recreational park, cemetery, conservation), connectivity, and composition (e.g., percentage covered by water, forest, impervious surfaces, grass, and canopy cover). The Results section (Tables 2 and 3) reports the statistical associations between these greenspace attributes and mean BMI. For example, the study finds that ""Recreational park percentage was significantly negatively related to mean BMI for only middle-adult females"" and ""Greenspace impervious surface was significantly and negatively related to BMI for middle-adult females... and males"".",[],No relevant outcome information was identified. The study does not measure or analyze social or community outcomes.,[],No relevant outcome information was identified. The study does not measure or analyze economic outcomes.
feng2017a.pdf,[],No regulating ecosystem services were explicitly analyzed or measured as outcomes of park or greenspace quality in the Methods or Results sections. The study focused on child well-being as the primary outcome.,[],"No cultural ecosystem services were explicitly analyzed or measured as outcomes of park or greenspace quality in the Methods or Results sections. The study's outcomes were focused on child well-being, not on cultural services like recreation or aesthetic appreciation.",[],No provisioning ecosystem services were explicitly analyzed or measured as outcomes of park or greenspace quality in the Methods or Results sections.,['Psychological health'],"The study analyzed child well-being as an outcome of residential green space quality. Psychological health was measured using Goodman's 25-item Strengths and Difficulties Questionnaire (SDQ), which the Methods section describes as a 'behavioral screening tool of well-being' that 'provides coverage of children's behavior, emotions, and peer relations'. Three specific outcome variables were examined: the 'Total Difficulties Score (TDS)', an 'internalizing subscale' (derived by summing the emotional and peer symptoms scales), and an 'externalizing subscale' (derived by summing the conduct problems and hyperactivity scales). The Results section (Table 3) presents multilevel linear regression models showing the association between parent-reported green space quality ('Quality parks') and these three psychological well-being outcomes.",[],"No social and community outcomes were explicitly analyzed or measured as outcomes of park or greenspace quality in the Methods or Results sections. While the well-being measure (SDQ) includes a 'peer relations' component, the study frames and analyzes this as a dimension of individual child psychological well-being rather than a community-level social outcome.",[],No economic outcomes were explicitly analyzed or measured as outcomes of park or greenspace quality in the Methods or Results sections.
yang2024b.pdf,[],"No regulating ecosystem services were explicitly analyzed or measured as outcomes of park quality. While the introduction mentions air filtration and the discussion notes the potential for water features to alleviate heat (climate regulation), these were not measured as dependent variables in the Methods or Results sections. The study measured park land cover characteristics (e.g., proportion of grass) as predictors of user sentiment, not as outcomes themselves.","['Aesthetic', 'Spiritual', 'Recreational']","The study measures cultural ecosystem services as the primary outcome of park quality. The main dependent variables were 'Google Maps’ user experience ratings' and 'the average sentiment compound scores derived from user reviews,' which serve as direct measures of public satisfaction and perception. These represent: Recreational services, as the ratings and reviews reflect the quality of the recreational experience, and the topic analysis identified keywords related to 'physical activity facilities,' 'playground,' 'walking,' and 'play.' Aesthetic services are captured in sentiment scores and through topic analysis keywords like 'beautiful.' Spiritual services, such as reflection and relaxation, are captured through keywords like 'relaxing' and 'quiet' identified in the topic analysis of user reviews.",[],No provisioning ecosystem services were analyzed or measured as outcomes of park quality in the Methods or Results sections.,['Psychological health'],"The study analyzed psychological health as an outcome of park quality. This was measured through sentiment analysis of Google Maps reviews. The study calculated the 'average sentiment compound score based on all reviews for each park to represent the qualitative park evaluation.' This score, classifying reviews as positive, neutral, or negative, is a direct measure of user affect and subjective well-being in response to park characteristics. The topic analysis also identified keywords like 'relaxing' and 'wonderful,' further indicating an analysis of psychological well-being.","['Use, engagement, recreation', 'Social interaction, cohesion', 'Equity, environmental justice']","The study analyzed several social and community outcomes. 'Use, engagement, recreation' was measured as the quality of the user experience, analyzed through 'user experience ratings' and 'sentiments extracted from reviews.' 'Social interaction, cohesion' was analyzed through a topic analysis of park reviews, which identified discussions about the 'social environment in parks located in low- and middle-income areas,' with keywords such as 'family' and 'picnic.' 'Equity, environmental justice' was a central outcome, analyzed by comparing 'park satisfaction' (ratings and sentiment scores) across parks serving different socioeconomic levels (low-, middle-, and high-income areas). The analysis also found that 'a higher percentage of the disabled population is linked to lower sentiment compound scores,' directly measuring an equity outcome.",[],"No economic outcomes were explicitly analyzed or measured as outcomes of park quality. While the discussion mentions a 'potential reduction in electronic bills' due to park cooling features, this was not empirically measured in the study's Methods or Results."
vandillen2012.pdf,[],No relevant outcome information was identified. The study did not analyze or measure any regulating ecosystem services as outcomes of greenspace quality.,[],"No relevant outcome information was identified. While the introduction discusses recreation as a potential mechanism linking greenspace to health, the study did not measure recreational activity or other cultural ecosystem services as outcomes of greenspace quality. The measured outcomes were health indicators.",[],No relevant outcome information was identified. The study did not analyze or measure any provisioning ecosystem services as outcomes of greenspace quality.,"['Physiological health', 'Psychological health']","The study analyzed the relationship between objectively assessed greenspace quality and three self-reported health indicators as outcomes. Physiological health was measured using two indicators: 'perceived general health' rated on a 5-point scale, and the number of 'acute health-related complaints' from a list of 37 experienced in the last 14 days. Psychological health was measured using the 'Mental Health Inventory (MHI-5)' as an indicator for 'general mental health status'. The Methods section describes these as the health indicators, and the Results section (Table 4) presents multilevel regression analyses showing that quality indicators for streetscape greenery and green areas were significantly associated with these health outcomes. For example, 'quality of streetscape greenery' was positively related to perceived general health and mental health status, and negatively related to acute health-related complaints.",[],"No relevant outcome information was identified. While the introduction mentions social contact and cohesion as a potential mechanism, the study did not measure social interaction, cohesion, or other social outcomes as dependent variables influenced by greenspace quality.",[],No relevant outcome information was identified. The study did not analyze or measure any economic outcomes of greenspace quality.
wu2025b.pdf,[],"No relevant outcome information was identified. The study mentions concepts like biodiversity, clean water, and clean air in the context of resident demands and preferences for park improvements (Table 1), but it does not measure or analyze these as outcomes of existing park quality in the Methods or Results sections.",['Recreational'],"The study analyzes recreational outcomes by modeling the change in park visitation frequency during the COVID-19 pandemic as the primary dependent variable. The Methods section (2.2.2) states, ""we take the answer 'has your frequency of use of parks changed this year from previous years?' as the dependent variable, which has three options of 'visiting parks more often,' 'same frequency,' and 'visiting parks less often.'"" The Results sections (4.1 and 4.2) and associated regression models (Tables 8 and 9) analyze how factors including subjective demands for park quality (e.g., demands for amenities, trees, landscaping) influence these changes in park visitation.",[],"No relevant outcome information was identified. The study mentions 'grow food' as a potential future use of urban green spaces (Table 1), but this is not measured or analyzed as an outcome of park quality in the Methods or Results sections.",[],"No relevant outcome information was identified. Although the introduction mentions that parks are related to public health and mental health, the study does not explicitly measure or analyze any physiological or psychological health indicators as outcomes of park quality in its Methods or Results sections.","['Use, engagement, recreation', 'Equity, environmental justice']","The study analyzes 'Use, engagement, recreation' and 'Equity, environmental justice' as outcomes of park quality.

Use, engagement, recreation: The study's primary dependent variable is the change in park visitation frequency. The regression models in the Results section (Tables 8 and 9) analyze how demands for specific park quality improvements (e.g., amenities, litter management, trees, trails) influence the likelihood of increasing or decreasing park visits. For example, Section 4.1 notes that demands for ""litter cleaning, planting trees, improving landscaping, building trails, adding signages, neighborhood investment, and improving access to parks"" are linked to increasing rather than decreasing park use.

Equity, environmental justice: The study analyzes how the relationship between park quality and park visitation differs across distinct communities (west peri-urban, south suburban, urban center), which constitutes an analysis of an equity outcome. The heterogeneity model (Section 4.2, Table 9) is used to identify ""regional-specific relationships."" The results show that western communities are ""more vulnerable"" and that their demands for quality improvements (e.g., amenities, bins, trees) are ""more significant in decreasing park use in the west peri-urban area,"" demonstrating a differential impact of park quality on park use across communities.",[],No relevant outcome information was identified. The study does not measure or analyze any economic outcomes of park or greenspace quality in the Methods or Results sections.
mccann2021.pdf,[],"No regulating ecosystem services were analyzed as outcomes of park or greenspace quality. The study measured ambient air quality (PM2.5 and PM10) along the trail, but this was treated as an environmental characteristic and a basis for visitor perception, not as an outcome regulated by the trail itself.",['Recreational'],"The study analyzed recreational trail use as an outcome. The Methods and Results sections describe a multiple regression analysis conducted 'to test the degree to which AQ and health perceptions predicted frequency of trail use.' The outcome variable was 'reported usage' (i.e., annual trail use), which was regressed on perceptions of air quality and health benefits.",[],No provisioning ecosystem services were analyzed or measured as outcomes in the study.,[],"No health and well-being outcomes were analyzed as consequences of park quality. The study measured visitors' *perceived* health outcomes using the Perceived Health Outcomes of Recreation Scale (PHORS), but these perceptions were used as independent variables to predict trail use, not as dependent outcomes of trail quality or use.","['Use, engagement, recreation']",The study analyzed trail usage as a primary outcome. A multiple regression analysis was used to assess the effects of perceived air quality and perceived health benefits on 'reported usage' of the trail. The Results section (3.2.3 Inferential Statistics) and Table 3 show that 'annual trail use' was the dependent variable in the statistical model.,[],No economic outcomes were analyzed or measured as outcomes in the study.
